Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,data_entry_by,upload_ts,notes,ref_date
Mozambique,MOZ,2019,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,500.0,USER_4,2026-04-02 02:44:51.524768,,2019-01-01
Mozambique,MOZ,2018,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,2786715588.55379,,2026-04-02 02:44:51.524768,,2018-01-01
Mozambique,MOZ,2004,GDP (current LCU),NY.GDP.MKTP.CN,179233890400.0,USER_5,2026-04-02 02:44:51.524768,,2004
Mozambique,MOZ,1983,GDP (constant LCU),NY.GDP.MKTP.KN,123642213433.0,,2026-04-02 02:44:51.524768,,01/01/1983
Mozambique,Moz,2019,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-2642277045.70145,,2026-04-02 02:44:51.524768,,Jan 2019
mozambique,MOZ,2006,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,0.533972339004175,admin,2026-04-02 02:44:51.524768,,01/01/2006
Mozambique,MOZ,1989.5,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,84790000.0,bot,2026-04-02 02:44:51.524768,,1989-01-01
Mozambique,MOZ,2009,Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,50980166700.0,,2026-04-02 02:44:51.524768,,01/01/2009
Mozambique,MOZ,2022,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,579.73437705173,,2026-04-02 02:44:51.524768,,01/01/2022
Mozambique,MOZ,2013,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,125565241100.0,USER_5,2026-04-02 02:44:51.524768,,Jan 2013
Mozambique,MOZ,2021,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,14206836395.0202,USER_6,2026-04-02 02:44:51.524768,,2021
Mozambique,MOZ,2010,Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,51944081400.0,,2026-04-02 02:44:51.524768,,Jan 2010
Mozambique,MOZ,1997,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,29.6090808178681,,2026-04-02 02:44:51.524768,,1997-01-01
Mozambique,MOZ,2018,"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS,24.5258293178593,USER_5,2026-04-02 02:44:51.524768,,01/01/2018
Mozambique,MOZ,2008,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,admin,2026-04-02 02:44:51.524768,,2008-01-01
Mozambique,MOZ,1986,GDP per capita (constant LCU),NY.GDP.PCAP.KN,8932.7209997856,,2026-04-02 02:44:51.524768,,1986
Mozambique,MOZ,2022,GNI (constant LCU),NY.GNP.MKTP.KN,101311720154314.0,admin,2026-04-02 02:44:51.524768,,Jan 2022
Mozambique,M0Z,2013,"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS,30.7847553468778,USER_7,2026-04-02 02:44:51.524768,,2013
Mozambique,MOZ,2004,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,,,2026-04-02 02:44:51.524768,,2004-01-01
Mozambique,MOZ,1996,Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,3389834800.0,USER_4,2026-04-02 02:44:51.524768,,Jan 1996
mozambique,MOZ,2007,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,3064448817.45209,,2026-04-02 02:44:51.524768,,2007
Mozambique,MOZ,1961,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.525242652479747,admin,2026-04-02 02:44:51.524768,,01/01/1961
Mozambique,MOZ,2016,Gross capital formation (current LCU),NE.GDI.TOTL.CN,352207190800.0,,2026-04-02 02:44:51.524768,,2016
Mozambique,M0Z,2021,Gross capital formation (current LCU),NE.GDI.TOTL.CN,427285671900.0,bot,2026-04-02 02:44:51.524768,,01/01/2021
Mozambique,MOZ,1996,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.12551466304502,USER_5,2026-04-02 02:44:51.524768,,1996-01-01
Mozambique,MOZ,2006,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,2.10974451762904,USER_8,2026-04-02 02:44:51.524768,,Jan 2006
Mozambique,MOZ,2008,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,421514385.984416,,2026-04-02 02:44:51.524768,,01/01/2008
Mozambique,MOZ,1982,GDP per capita (constant LCU),NY.GDP.PCAP.KN,12403.9839647271,,2026-04-02 02:44:51.524768,,01/01/1982
Mozambique,MOZ,1991,GNI: linked series (current LCU),NY.GNP.MKTP.CN.AD,5375319399.99998,,2026-04-02 02:44:51.524768,,1991-01-01
Mozambique,MOZ,2000,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,0.0,bot,2026-04-02 02:44:51.524768,,2000-01-01
Mozambique,MOZ,1997,"Services, value added (constant 2015 US$)",NV.SRV.TOTL.KD,1916279508.72751,,2026-04-02 02:44:51.524768,,01/01/1997
Mozambique,M0Z,1982,Changes in inventories (current LCU),NE.GDI.STKB.CN,0.0,admin,2026-04-02 02:44:51.524768,,1982-01-01
Mozambique,MOZ,2023,GNI (constant LCU),NY.GNP.MKTP.KN,1062617056426.65,bot,2026-04-02 02:44:51.524768,,2023-01-01
Mozambique,MOZ,1991,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,100837451.511059,,2026-04-02 02:44:51.524768,,1991-01-01
Mozambique,MOZ,2013,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,5.70253159576181,bot,2026-04-02 02:44:51.524768,,01/01/2013
  Mozambique  ,MOZ,2000,"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,12629937200.0,,2026-04-02 02:44:51.524768,,2000
Mozambique,MOZ,1995,Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD,4578542246.64139,,2026-04-02 02:44:51.524768,,01/01/1995
Mozambique,MOZ,2007,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,436768.112721277,bot,2026-04-02 02:44:51.524768,,2007-01-01
Mozambique,MOZ,2001,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,34510.4209781155,bot,2026-04-02 02:44:51.524768,,Jan 2001
Mozambique,MOz,2005,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-527880179.306579,bot,2026-04-02 02:44:51.524768,,Jan 2005
Mozambique,MOZ,2012,Gross capital formation (constant LCU),NE.GDI.TOTL.KN,430876883900.0,admin,2026-04-02 02:44:51.524768,,2012
Mozambique,MOZ,2017,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,-16.6873040921577,,2026-04-02 02:44:51.524768,,01/01/2017
Mozambique,MOZ,2002,Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,52.4448404633772,,2026-04-02 02:44:51.524768,,2002
Mozambique,MOZ,1984,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.8,admin,2026-04-02 02:44:51.524768,,01/01/1984
Mozambique,MOZ,2020,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,60289393540.0,USER_4,2026-04-02 02:44:51.524768,,Jan 2020
  Mozambique  ,MOZ,2008,Exports of goods and services (current US$),NE.EXP.GNFS.CD,3533230751.68138,USER_3,2026-04-02 02:44:51.524768,,Jan 2008
Mozambique,MOZ,2010,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4726174479.88199,,2026-04-02 02:44:51.524768,,Jan 2010
Mozambique,MOZ,2015,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,-3.0517578125e-05,,2026-04-02 02:44:51.524768,,Jan 2015
Mozambique,MOZ,2023,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,590.362697286412,admin,2026-04-02 02:44:51.524768,,01/01/2023
Mozambique,MOZ,1993,General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,,,2026-04-02 02:44:51.524768,,Jan 1993
Mozambique,MOZ,2018,"Services, value added (constant LCU)",NV.SRV.TOTL.KN,380804555000.0,,2026-04-02 02:44:51.524768,,2018
Mozambique,MOZ,1997,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,212.856065555336,,2026-04-02 02:44:51.524768,,1997-01-01
Mozambique,MOZ,2018,"Industry (including construction), value added per worker (constant 2015 US$)",NV.IND.EMPL.KD,4156.63512167816,,2026-04-02 02:44:51.524768,,2018
Mozambique,MOZ,2016,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,9463188948.12788,,2026-04-02 02:44:51.524768,,2016
Mozambique,MOZ,2015,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.32231286612486,,2026-04-02 02:44:51.524768,,Jan 2015
Mozambique,MOZ,2019,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,,,2026-04-02 02:44:51.524768,,01/01/2019
Mozambique,MOZ,1997,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,19.8028350122359,,2026-04-02 02:44:51.524768,,1997
MOZAMBIQUE,MOZ,2018,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,3.00688241370049,,2026-04-02 02:44:51.524768,,2018
Mozambique,MOZ,2023,"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS,19.6097029909906,bot,2026-04-02 02:44:51.524768,,2023
Mozambique,M0Z,1995,Gross domestic savings (current US$),NY.GDS.TOTL.CD,-60091643.3380727,bot,2026-04-02 02:44:51.524768,,1995-01-01
Mozambique,MOZ,2018,Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,99163221700.0,admin,2026-04-02 02:44:51.524768,,2018-01-01
Mozambique,MOZ,1996,Total reserves minus gold (current US$),FI.RES.XGLD.CD,344062454.704414,,2026-04-02 02:44:51.524768,,1996
Mozambique,MOZ,2022,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,2026-04-02 02:44:51.524768,,01/01/2022
Mozambique,MOZ,2012,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,2281691916.59235,,2026-04-02 02:44:51.524768,,2012-01-01
Mozambique,moz,1960,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.0029789854250104,admin,2026-04-02 02:44:51.524768,,1960-01-01
